date,amount,category,subcategory,description,payment_mode
2026-02-10 15:09:48,2324.9,Shopping,Clothes,Paid for clothes,Debit Card
2026-04-04 21:30:50,752.05,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-06-24 12:03:58,58.91,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-01-02 19:06:57,1370.48,Shopping,Footwear,Paid for footwear,UPI
2025-10-13 10:16:52,1246.84,Education,Exam Registration,Paid for exam registration,Credit Card
2025-10-03 16:25:23,29.47,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-06-17 09:16:55,26.62,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2026-04-04 10:51:47,245.52,Education,Stationery,Paid for stationery,Credit Card
2026-05-15 08:59:39,398.41,Shopping,Toiletries,Paid for toiletries,Credit Card
2026-03-02 23:25:09,2824.95,Food,Hostel Mess,Paid for hostel mess,Credit Card
2026-04-26 09:43:08,195.7,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-05-02 16:48:47,323.91,Food,Zomato/Swiggy,Pizza party,Debit Card
2026-03-18 17:51:55,136.93,Education,Stationery,Paid for stationery,UPI
2026-05-09 18:41:54,427.09,Entertainment,Movie Ticket,IMAX show,UPI
2026-05-27 09:38:32,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-01-10 10:57:51,557.13,Food,Restaurant,Paid for restaurant,UPI
2026-03-21 12:03:22,692.29,Food,Restaurant,Paid for restaurant,UPI
2026-04-06 18:01:20,738.52,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Debit Card
2026-02-22 13:03:52,551.39,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-04-24 09:51:03,37.46,Travel,Metro Fare,Paid for metro fare,UPI
2026-02-19 08:35:06,33.82,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-04-10 14:43:34,53.92,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-01-15 17:41:17,16.49,Travel,Metro Fare,Paid for metro fare,UPI
2026-06-01 09:53:45,59.12,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-06-10 15:28:10,241.05,Food,Groceries,Paid for groceries,Debit Card
2025-11-15 14:20:43,620.01,Food,Restaurant,Paid for restaurant,UPI
2026-03-20 16:01:40,771.97,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2026-02-26 14:24:40,10851.81,Shopping,Electronics,Paid for electronics,Credit Card
2026-05-01 14:10:15,2583.72,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-05-05 09:38:12,2029.82,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-05-16 19:58:59,85.72,Food,Groceries,Paid for groceries,UPI
2025-07-26 17:59:00,536.83,Food,Restaurant,Paid for restaurant,Credit Card
2026-06-24 22:56:54,129.39,Food,Groceries,Paid for groceries,UPI
2025-12-30 12:28:59,29.18,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-06 08:34:59,226.13,Food,Zomato/Swiggy,Burger & Fries,Debit Card
2025-12-31 19:21:05,47.35,Travel,Auto/E-Rickshaw,Rickshaw from metro station,Cash
2026-06-29 10:17:55,23.6,Snacks,Tea/Coffee,Chai at tapri,UPI
2026-01-14 19:51:37,103.62,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-02 11:14:55,247.24,Shopping,Toiletries,Paid for toiletries,UPI
2026-03-16 23:08:05,2513.06,Shopping,Footwear,Paid for footwear,Debit Card
2026-06-22 17:06:33,84.44,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-03-28 11:05:46,611.26,Food,Restaurant,Paid for restaurant,UPI
2026-06-25 20:09:30,15.07,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-03-08 21:15:55,332.14,Food,Zomato/Swiggy,Burger & Fries,UPI
2025-12-28 08:56:29,1611.6,Education,Exam Registration,Paid for exam registration,Debit Card
2026-06-20 18:02:12,16.88,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-01-02 09:35:01,2025.66,Shopping,Clothes,Paid for clothes,Debit Card
2025-10-12 17:45:51,9703.51,Shopping,Electronics,Paid for electronics,Debit Card
2025-12-01 10:48:55,839,Recharge,Mobile Data,Paid for mobile data,UPI
2025-09-26 09:59:40,4690.18,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-04-29 10:00:30,53.09,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2025-10-22 20:56:21,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-06-13 16:49:07,52.29,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-09 09:37:11,425.91,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-06-27 22:35:27,565.96,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-01-14 09:06:17,6724.83,Shopping,Electronics,Paid for electronics,UPI
2026-06-29 23:49:34,389.24,Entertainment,Gaming Parlor,Paid for gaming parlor,Debit Card
2026-06-02 23:24:11,419.99,Entertainment,Gaming Parlor,Paid for gaming parlor,Credit Card
2026-04-18 09:37:48,825.61,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2025-10-17 18:35:40,398.45,Entertainment,Movie Ticket,Popcorn and ticket,Debit Card
2026-04-18 13:31:47,255.86,Education,Reference Books,Paid for reference books,UPI
2026-05-27 08:21:17,17.9,Snacks,Tea/Coffee,Chai at tapri,UPI
2026-05-02 17:28:34,620.39,Food,Restaurant,Paid for restaurant,UPI
2026-02-09 10:37:20,841.31,Other,Hostel Security,Paid for hostel security,UPI
2025-12-29 12:58:10,34.67,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2025-12-28 18:59:51,205.12,Education,Reference Books,Paid for reference books,Debit Card
2026-06-09 22:49:27,97.98,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-05-14 10:34:57,1479.09,Shopping,Footwear,Paid for footwear,Credit Card
2026-06-28 15:13:01,777.95,Food,Restaurant,Paid for restaurant,UPI
2025-12-17 21:54:00,78.25,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2025-11-19 11:07:58,1403.65,Medical,First Aid,Paid for first aid,UPI
2026-05-28 13:12:57,319.64,Food,Restaurant,Paid for restaurant,UPI
2026-03-31 10:35:23,280.5,Other,Laundry Services,Paid for laundry services,Credit Card
2026-01-08 17:46:55,250.24,Food,Zomato/Swiggy,Late night dessert,Debit Card
2026-03-03 18:56:35,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-05-24 12:47:51,21.13,Snacks,Tea/Coffee,Chai & biscuits,Cash
2026-03-14 13:16:20,268.76,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-01-12 19:09:17,1157.95,Shopping,Footwear,Paid for footwear,UPI
2026-03-08 17:34:21,64.64,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-05-22 17:01:05,157.41,Travel,Uber/Ola Cab,Paid for uber/ola cab,Debit Card
2025-09-30 22:16:26,535.98,Food,Restaurant,Paid for restaurant,UPI
2025-09-17 09:56:51,1170.43,Education,Online Course,Paid for online course,UPI
2026-04-27 18:20:06,17.23,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-18 09:26:26,75.72,Food,Groceries,Paid for groceries,UPI
2026-02-10 12:34:57,243.67,Food,Groceries,Paid for groceries,UPI
2026-06-04 12:45:40,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-04-09 19:06:53,43.13,Travel,Auto/E-Rickshaw,Rickshaw from metro station,Cash
2026-04-13 10:55:23,2071.38,Travel,Train/Flight Home,Paid for train/flight home,Debit Card
2026-04-22 10:28:00,38.07,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-02 20:46:41,79.24,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-06-09 22:00:07,149,Recharge,OTT Subscription,Paid for ott subscription,UPI
2025-11-28 15:19:06,36.27,Travel,Metro Fare,Paid for metro fare,UPI
2025-12-28 14:59:58,366.31,Food,Zomato/Swiggy,Pizza party,Cash
2026-04-19 13:36:26,18.55,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2025-12-06 10:21:13,58.42,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-07 10:03:50,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Debit Card
2026-01-27 12:58:52,198.49,Food,Groceries,Paid for groceries,UPI
2026-05-09 23:08:49,166.65,Food,Zomato/Swiggy,Biryani order,UPI
2026-01-11 22:44:29,789.44,Medical,Pharmacy,Paid for pharmacy,Debit Card
2026-04-18 17:53:12,464.43,Entertainment,Movie Ticket,IMAX show,Debit Card
2026-03-04 10:22:35,2724.5,Food,Hostel Mess,Paid for hostel mess,UPI
2026-05-19 16:25:08,780.76,Food,Restaurant,Paid for restaurant,UPI
2026-05-31 17:50:53,263.16,Entertainment,Movie Ticket,Popcorn and ticket,UPI
2026-01-03 21:19:43,81.44,Food,Groceries,Paid for groceries,UPI
2026-02-28 12:36:28,53.75,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-02-26 10:01:19,100.53,Food,Groceries,Paid for groceries,UPI
2026-02-06 10:59:40,1312.3,Travel,Train/Flight Home,Paid for train/flight home,Cash
2026-04-08 23:49:33,293.63,Other,Laundry Services,Paid for laundry services,UPI
2026-03-25 08:34:57,337.56,Food,Restaurant,Paid for restaurant,Debit Card
2025-10-13 21:08:48,103.57,Food,Groceries,Paid for groceries,UPI
2026-02-06 22:51:46,1679.42,Shopping,Footwear,Paid for footwear,UPI
2025-12-12 11:28:41,192.97,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2026-06-18 15:07:10,118.65,Snacks,Juice & Shakes,Paid for juice & shakes,Cash
2025-11-10 09:07:15,243.02,Food,Groceries,Paid for groceries,UPI
2025-07-28 21:04:11,447.52,Education,Reference Books,Paid for reference books,Debit Card
2026-03-13 13:11:34,32.19,Snacks,Tea/Coffee,Chai & biscuits,UPI
2025-10-16 08:02:44,55.65,Food,Groceries,Paid for groceries,UPI
2026-03-13 20:44:00,191.76,Food,Zomato/Swiggy,Biryani order,Debit Card
2026-02-24 17:03:42,64.53,Snacks,Juice & Shakes,Paid for juice & shakes,Cash
2026-05-18 10:28:13,513.47,Other,Hostel Security,Paid for hostel security,UPI
2026-02-10 21:31:48,300,Medical,Doctor Consultation,Paid for doctor consultation,UPI
2026-06-01 11:04:13,611.6,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Cash
2025-12-29 16:35:01,47.19,Travel,Auto/E-Rickshaw,Auto to college,UPI
2025-12-24 20:36:45,271.31,Food,Zomato/Swiggy,Late night dessert,UPI
2025-10-03 18:22:13,2576.26,Food,Hostel Mess,Paid for hostel mess,UPI
2026-05-02 23:30:54,3025.88,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-01-03 11:24:36,1536.28,Shopping,Clothes,Paid for clothes,Debit Card
2026-05-12 21:06:35,183.53,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-04-20 21:29:18,2589.14,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-05-03 12:25:08,3284.16,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-06-15 17:07:39,734.03,Food,Restaurant,Paid for restaurant,UPI
2026-06-13 09:04:01,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Cash
2026-02-25 08:09:34,32.01,Snacks,Tea/Coffee,Chai at tapri,UPI
2025-11-26 20:21:33,513.23,Food,Restaurant,Paid for restaurant,Debit Card
2026-01-31 18:44:07,1710.92,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2026-05-26 15:20:49,2836.62,Shopping,Clothes,Paid for clothes,UPI
2026-05-17 16:02:13,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-03-13 22:25:19,313.09,Medical,Pharmacy,Paid for pharmacy,UPI
2026-06-03 10:34:02,219.26,Food,Zomato/Swiggy,Biryani order,Debit Card
2025-09-24 18:23:08,342.57,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2025-09-21 09:00:39,644.01,Food,Restaurant,Paid for restaurant,Debit Card
2025-12-24 19:44:01,2824.45,Shopping,Footwear,Paid for footwear,Credit Card
2026-01-28 09:42:59,169.45,Food,Zomato/Swiggy,Late night dessert,Debit Card
2026-04-06 08:18:11,1750.85,Education,Exam Registration,Paid for exam registration,Cash
2026-06-05 20:09:33,63.84,Education,Stationery,Paid for stationery,UPI
2026-05-08 12:25:18,425.56,Food,Zomato/Swiggy,Biryani order,UPI
2025-11-30 11:53:09,339.94,Food,Zomato/Swiggy,Late night dessert,UPI
2026-01-02 16:05:36,386.93,Food,Zomato/Swiggy,Burger & Fries,UPI
2025-11-07 09:41:04,499,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-04-21 20:24:18,97.45,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2025-12-14 23:09:35,770.5,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-05-01 19:02:18,190.04,Food,Zomato/Swiggy,Biryani order,UPI
2025-07-24 21:12:49,299,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Debit Card
2026-02-23 10:44:09,683.32,Food,Restaurant,Paid for restaurant,UPI
2025-10-27 13:31:02,78.15,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-05-10 19:40:09,2176.06,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-01-04 08:56:42,839,Recharge,Mobile Data,Paid for mobile data,Cash
2026-04-27 12:33:59,262.79,Food,Zomato/Swiggy,Late night dessert,UPI
2025-12-22 22:26:35,379.34,Shopping,Toiletries,Paid for toiletries,Debit Card
2025-10-30 11:08:38,907.31,Other,Miscellaneous,Paid for miscellaneous,UPI
2026-06-01 22:18:19,635.25,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Credit Card
2026-04-06 14:38:15,431.69,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-02-22 15:35:54,219.59,Food,Zomato/Swiggy,Pizza party,UPI
2025-12-20 08:17:35,938.8,Shopping,Clothes,Paid for clothes,UPI
2026-03-25 14:56:22,51.61,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-06-24 15:17:10,115.22,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
